asin    itemID
Toy Story	0
GoldenEye	1
Four Rooms	2
Get Shorty	3
Copycat	4
Shanghai Triad (Yao a yao yao dao waipo qiao)	5
Twelve Monkeys	6
Babe	7
Dead Man Walking	8
Richard III	9
Seven (Se7en)	10
Usual Suspects, The	11
Mighty Aphrodite	12
Postino, Il	13
Mr. Holland's Opus	14
French Twist (Gazon maudit)	15
From Dusk Till Dawn	16
White Balloon, The	17
Antonia's Line	18
Angels and Insects	19
Muppet Treasure Island	20
Braveheart	21
Taxi Driver	22
Rumble in the Bronx	23
Birdcage, The	24
Brothers McMullen, The	25
Bad Boys	26
Apollo 13	27
Batman Forever	28
Belle de jour	29
Crimson Tide	30
Crumb	31
Desperado	32
Doom Generation, The	33
Free Willy 2: The Adventure Home	34
Mad Love	35
Nadja	36
Net, The	37
Strange Days	38
To Wong Foo, Thanks for Everything! Julie Newmar	39
Billy Madison	40
Clerks	41
Disclosure	42
Dolores Claiborne	43
Eat Drink Man Woman	44
Exotica	45
Ed Wood	46
Hoop Dreams	47
I.Q.	48
Star Wars	49
Legends of the Fall	50
Madness of King George, The	51
Natural Born Killers	52
Outbreak	53
Professional, The	54
Pulp Fiction	55
Priest	56
Quiz Show	57
Three Colors: Red	58
Three Colors: Blue	59
Three Colors: White	60
Stargate	61
Santa Clause, The	62
Shawshank Redemption, The	63
What's Eating Gilbert Grape	64
While You Were Sleeping	65
Ace Ventura: Pet Detective	66
Crow, The	67
Forrest Gump	68
Four Weddings and a Funeral	69
Lion King, The	70
Mask, The	71
Maverick	72
Faster Pussycat! Kill! Kill!	73
Brother Minister: The Assassination of Malcolm X	74
Carlito's Way	75
Firm, The	76
Free Willy	77
Fugitive, The	78
Hot Shots! Part Deux	79
Hudsucker Proxy, The	80
Jurassic Park	81
Much Ado About Nothing	82
Robert A. Heinlein's The Puppet Masters	83
Ref, The	84
Remains of the Day, The	85
Searching for Bobby Fischer	86
Sleepless in Seattle	87
Blade Runner	88
So I Married an Axe Murderer	89
Nightmare Before Christmas, The	90
True Romance	91
Welcome to the Dollhouse	92
Home Alone	93
Aladdin	94
Terminator 2: Judgment Day	95
Dances with Wolves	96
Silence of the Lambs, The	97
Snow White and the Seven Dwarfs	98
Fargo	99
Heavy Metal	100
Aristocats, The	101
All Dogs Go to Heaven 2	102
Theodore Rex	103
Sgt. Bilko	104
Diabolique	105
Moll Flanders	106
Kids in the Hall: Brain Candy	107
Mystery Science Theater 3000: The Movie	108
Operation Dumbo Drop	109
Truth About Cats & Dogs, The	110
Flipper	111
Horseman on the Roof, The (Hussard sur le toit, Le)	112
Wallace & Gromit: The Best of Aardman Animation	113
Haunted World of Edward D. Wood Jr., The	114
Cold Comfort Farm	115
Rock, The	116
Twister	117
Maya Lin: A Strong Clear Vision	118
Striptease	119
Independence Day (ID4)	120
Cable Guy, The	121
Frighteners, The	122
Lone Star	123
Phenomenon	124
Spitfire Grill, The	125
Godfather, The	126
Supercop	127
Bound	128
Kansas City	129
Breakfast at Tiffany's	130
Wizard of Oz, The	131
Gone with the Wind	132
Citizen Kane	133
2001: A Space Odyssey	134
Mr. Smith Goes to Washington	135
Big Night	136
D3: The Mighty Ducks	137
Love Bug, The	138
Homeward Bound: The Incredible Journey	139
20,000 Leagues Under the Sea	140
Bedknobs and Broomsticks	141
Sound of Music, The	142
Die Hard	143
Lawnmower Man, The	144
Unhook the Stars	145
Long Kiss Goodnight, The	146
Ghost and the Darkness, The	147
Jude	148
Swingers	149
Willy Wonka and the Chocolate Factory	150
Sleeper	151
Fish Called Wanda, A	152
Monty Python's Life of Brian	153
Dirty Dancing	154
Reservoir Dogs	155
Platoon	156
Weekend at Bernie's	157
Basic Instinct	158
Glengarry Glen Ross	159
Top Gun	160
On Golden Pond	161
Return of the Pink Panther, The	162
Abyss, The	163
Jean de Florette	164
Manon of the Spring (Manon des sources)	165
Private Benjamin	166
Monty Python and the Holy Grail	167
Wrong Trousers, The	168
Cinema Paradiso	169
Delicatessen	170
Empire Strikes Back, The	171
Princess Bride, The	172
Raiders of the Lost Ark	173
Brazil	174
Aliens	175
Good, The Bad and The Ugly, The	176
12 Angry Men	177
Clockwork Orange, A	178
Apocalypse Now	179
Return of the Jedi	180
GoodFellas	181
Alien	182
Army of Darkness	183
Psycho	184
Blues Brothers, The	185
Godfather: Part II, The	186
Full Metal Jacket	187
Grand Day Out, A	188
Henry V	189
Amadeus	190
Raging Bull	191
Right Stuff, The	192
Sting, The	193
Terminator, The	194
Dead Poets Society	195
Graduate, The	196
Nikita (La Femme Nikita)	197
Bridge on the River Kwai, The	198
Shining, The	199
Evil Dead II	200
Groundhog Day	201
Unforgiven	202
Back to the Future	203
Patton	204
Akira	205
Cyrano de Bergerac	206
Young Frankenstein	207
This Is Spinal Tap	208
Indiana Jones and the Last Crusade	209
M*A*S*H	210
Unbearable Lightness of Being, The	211
Room with a View, A	212
Pink Floyd - The Wall	213
Field of Dreams	214
When Harry Met Sally...	215
Bram Stoker's Dracula	216
Cape Fear	217
Nightmare on Elm Street, A	218
Mirror Has Two Faces, The	219
Breaking the Waves	220
Star Trek: First Contact	221
Sling Blade	222
Ridicule	223
101 Dalmatians	224
Die Hard 2	225
Star Trek VI: The Undiscovered Country	226
Star Trek: The Wrath of Khan	227
Star Trek III: The Search for Spock	228
Star Trek IV: The Voyage Home	229
Batman Returns	230
Young Guns	231
Under Siege	232
Jaws	233
Mars Attacks!	234
Citizen Ruth	235
Jerry Maguire	236
Raising Arizona	237
Sneakers	238
Beavis and Butt-head Do America	239
Last of the Mohicans, The	240
Kolya	241
Jungle2Jungle	242
Smilla's Sense of Snow	243
Devil's Own, The	244
Chasing Amy	245
Turbo: A Power Rangers Movie	246
Grosse Pointe Blank	247
Austin Powers: International Man of Mystery	248
Fifth Element, The	249
Shall We Dance?	250
Lost World: Jurassic Park, The	251
Pillow Book, The	252
Batman & Robin	253
My Best Friend's Wedding	254
When the Cats Away (Chacun cherche son chat)	255
Men in Black	256
Contact	257
George of the Jungle	258
Event Horizon	259
Air Bud	260
In the Company of Men	261
Steel	262
Mimic	263
Hunt for Red October, The	264
Kull the Conqueror	265
u	266
Chasing Amy	267
Full Monty, The	268
Gattaca	269
Starship Troopers	270
Good Will Hunting	271
Heat	272
Sabrina	273
Sense and Sensibility	274
Leaving Las Vegas	275
Restoration	276
Bed of Roses	277
Once Upon a Time... When We Were Colored	278
Up Close and Personal	279
River Wild, The	280
Time to Kill, A	281
Emma	282
Tin Cup	283
Secrets & Lies	284
English Patient, The	285
Marvin's Room	286
Scream	287
Evita	288
Fierce Creatures	289
Absolute Power	290
Rosewood	291
Donnie Brasco	292
Liar Liar	293
Breakdown	294
Promesse, La	295
Ulee's Gold	296
Face/Off	297
Hoodlum	298
Air Force One	299
In & Out	300
L.A. Confidential	301
Ulee's Gold	302
Fly Away Home	303
Ice Storm, The	304
Mrs. Brown (Her Majesty, Mrs. Brown)	305
Devil's Advocate, The	306
FairyTale: A True Story	307
Deceiver	308
Rainmaker, The	309
Wings of the Dove, The	310
Midnight in the Garden of Good and Evil	311
Titanic	312
3 Ninjas: High Noon At Mega Mountain	313
Apt Pupil	314
As Good As It Gets	315
In the Name of the Father	316
Schindler's List	317
Everyone Says I Love You	318
Paradise Lost: The Child Murders at Robin Hood Hills	319
Mother	320
Murder at 1600	321
Dante's Peak	322
Lost Highway	323
Crash	324
G.I. Jane	325
Cop Land	326
Conspiracy Theory	327
Desperate Measures	328
187	329
Edge, The	330
Kiss the Girls	331
Game, The	332
U Turn	333
How to Be a Player	334
Playing God	335
House of Yes, The	336
Bean	337
Mad City	338
Boogie Nights	339
Critical Care	340
Man Who Knew Too Little, The	341
Alien: Resurrection	342
Apostle, The	343
Deconstructing Harry	344
Jackie Brown	345
Wag the Dog	346
Desperate Measures	347
Hard Rain	348
Fallen	349
Prophecy II, The	350
Spice World	351
Deep Rising	352
Wedding Singer, The	353
Sphere	354
Client, The	355
One Flew Over the Cuckoo's Nest	356
Spawn	357
Assignment, The	358
Wonderland	359
Incognito	360
Blues Brothers 2000	361
Sudden Death	362
Ace Ventura: When Nature Calls	363
Powder	364
Dangerous Minds	365
Clueless	366
Bio-Dome	367
Black Sheep	368
Mary Reilly	369
Bridges of Madison County, The	370
Jeffrey	371
Judge Dredd	372
Mighty Morphin Power Rangers: The Movie	373
Showgirls	374
Houseguest	375
Heavyweights	376
Miracle on 34th Street	377
Tales From the Crypt Presents: Demon Knight	378
Star Trek: Generations	379
Muriel's Wedding	380
