userID	itemID	rating	timestamp	x_label
196	242	3	881250949	2
186	302	3	891717742	1
22	377	1	878887116	1
244	51	2	880606923	0
166	346	1	886397596	1
298	474	4	884182806	1
115	265	2	881171488	1
253	465	5	891628467	2
305	451	3	886324817	1
6	86	3	883603013	1
62	257	2	879372434	0
286	1014	5	879781125	0
200	222	5	876042340	1
210	40	3	891035994	0
224	29	3	888104457	2
303	785	3	879485318	1
122	387	5	879270459	0
194	274	2	879539794	2
291	1042	4	874834944	1
234	1184	2	892079237	2
119	392	4	886176814	2
167	486	4	892738452	1
299	144	4	877881320	0
291	118	2	874833878	1
308	1	4	887736532	0
95	546	2	879196566	1
38	95	5	892430094	1
102	768	2	883748450	2
63	277	4	875747401	0
160	234	5	876861185	2
50	246	3	877052329	1
301	98	4	882075827	0
225	193	4	879539727	1
290	88	4	880731963	0
97	194	3	884238860	1
157	274	4	886890835	0
181	1081	1	878962623	0
278	603	5	891295330	0
276	796	1	874791932	2
7	32	4	891350932	1
10	16	4	877888877	2
284	304	4	885329322	1
201	979	2	884114233	2
276	564	3	874791805	0
287	327	5	875333916	2
246	201	5	884921594	0
242	1137	5	879741196	2
249	241	5	879641194	1
99	4	5	886519097	2
178	332	3	882823437	1
251	100	4	886271884	1
81	432	2	876535131	1
260	322	4	890618898	1
25	181	5	885853415	0
59	196	5	888205088	2
72	679	2	880037164	2
87	384	4	879877127	2
290	143	5	880474293	1
42	423	5	881107687	0
292	515	4	881103977	1
115	20	3	881171009	2
20	288	1	879667584	0
201	219	4	884112673	2
13	526	3	882141053	0
246	919	4	884920949	0
138	26	5	879024232	2
167	232	1	892738341	0
60	427	5	883326620	1
57	304	5	883698581	2
223	274	4	891550094	1
189	512	4	893277702	1
243	15	3	879987440	1
92	1049	1	890251826	0
246	416	3	884923047	1
194	165	4	879546723	2
241	690	2	887249482	0
178	248	4	882823954	2
254	1444	3	886475558	1
293	5	3	888906576	1
127	229	5	884364867	1
225	237	5	879539643	0
299	229	3	878192429	0
225	480	5	879540748	1
276	54	3	874791025	1
291	144	5	874835091	1
222	366	4	878183381	0
267	518	5	878971773	1
42	403	3	881108684	0
11	111	4	891903862	2
95	625	4	888954412	1
8	338	4	879361873	2
162	25	4	877635573	1
87	1016	4	879876194	1
279	154	5	875296291	0
145	275	2	885557505	2
119	1153	5	874781198	0
62	498	4	879373848	2
62	382	3	879375537	2
28	209	4	881961214	0
135	23	4	879857765	2
32	294	3	883709863	2
90	382	5	891383835	1
286	208	4	877531942	0
293	685	3	888905170	0
216	144	4	880234639	1
166	328	5	886397722	0
250	496	4	878090499	2
271	132	5	885848672	0
160	174	5	876860807	2
265	118	4	875320714	1
198	498	3	884207492	0
42	96	5	881107178	0
168	151	5	884288058	1
110	307	4	886987260	1
58	144	4	884304936	1
90	648	4	891384754	1
271	346	4	885844430	2
62	21	3	879373460	1
279	832	3	881375854	0
237	514	4	879376641	1
94	789	4	891720887	0
128	485	3	879966895	1
298	317	4	884182806	1
44	195	5	878347874	2
264	200	5	886122352	1
194	385	2	879524643	2
72	195	5	880037702	0
222	750	5	883815120	1
250	264	3	878089182	0
41	265	3	890687042	1
224	245	3	888082216	2
82	135	3	878769629	2
262	1147	4	879791710	1
