asin	itemID
0_Toy Story	0
1_GoldenEye	1
2_Four Rooms	2
3_Get Shorty	3
4_Copycat	4
5_Shanghai Triad (Yao a yao yao dao waipo qiao)	5
6_Twelve Monkeys	6
7_Babe	7
8_Dead Man Walking	8
9_Richard III	9
10_Seven (Se7en)	10
11_Usual Suspects, The	11
12_Mighty Aphrodite	12
13_Postino, Il	13
14_Mr. Holland's Opus	14
15_French Twist (Gazon maudit)	15
16_From Dusk Till Dawn	16
17_White Balloon, The	17
18_Antonia's Line	18
19_Angels and Insects	19
20_Muppet Treasure Island	20
21_Braveheart	21
22_Taxi Driver	22
23_Rumble in the Bronx	23
24_Birdcage, The	24
25_Brothers McMullen, The	25
26_Bad Boys	26
27_Apollo 13	27
28_Batman Forever	28
29_Belle de jour	29
30_Crimson Tide	30
31_Crumb	31
32_Desperado	32
33_Doom Generation, The	33
34_Free Willy 2 The Adventure Home	34
35_Mad Love	35
36_Nadja	36
37_Net, The	37
38_Strange Days	38
39_To Wong Foo, Thanks for Everything! Julie Newmar	39
40_Billy Madison	40
41_Clerks	41
42_Disclosure	42
43_Dolores Claiborne	43
44_Eat Drink Man Woman	44
45_Exotica	45
46_Ed Wood	46
47_Hoop Dreams	47
48_I.Q.	48
49_Star Wars	49
50_Legends of the Fall	50
51_Madness of King George, The	51
52_Natural Born Killers	52
53_Outbreak	53
54_Professional, The	54
55_Pulp Fiction	55
56_Priest	56
57_Quiz Show	57
58_Three Colors Red	58
59_Three Colors Blue	59
60_Three Colors White	60
61_Stargate	61
62_Santa Clause, The	62
63_Shawshank Redemption, The	63
64_What's Eating Gilbert Grape	64
65_While You Were Sleeping	65
66_Ace Ventura Pet Detective	66
67_Crow, The	67
68_Forrest Gump	68
69_Four Weddings and a Funeral	69
70_Lion King, The	70
71_Mask, The	71
72_Maverick	72
73_Faster Pussycat! Kill! Kill!	73
74_Brother Minister The Assassination of Malcolm X	74
75_Carlito's Way	75
76_Firm, The	76
77_Free Willy	77
78_Fugitive, The	78
79_Hot Shots! Part Deux	79
80_Hudsucker Proxy, The	80
81_Jurassic Park	81
82_Much Ado About Nothing	82
83_Robert A. Heinlein's The Puppet Masters	83
84_Ref, The	84
85_Remains of the Day, The	85
86_Searching for Bobby Fischer	86
87_Sleepless in Seattle	87
88_Blade Runner	88
89_So I Married an Axe Murderer	89
90_Nightmare Before Christmas, The	90
91_True Romance	91
92_Welcome to the Dollhouse	92
93_Home Alone	93
94_Aladdin	94
95_Terminator 2 Judgment Day	95
96_Dances with Wolves	96
97_Silence of the Lambs, The	97
98_Snow White and the Seven Dwarfs	98
99_Fargo	99
100_Heavy Metal	100
101_Aristocats, The	101
102_All Dogs Go to Heaven 2	102
103_Theodore Rex	103
104_Sgt. Bilko	104
105_Diabolique	105
106_Moll Flanders	106
107_Kids in the Hall Brain Candy	107
108_Mystery Science Theater 3000 The Movie	108
109_Operation Dumbo Drop	109
110_Truth About Cats & Dogs, The	110
111_Flipper	111
112_Horseman on the Roof, The (Hussard sur le toit, Le)	112
113_Wallace & Gromit The Best of Aardman Animation	113
114_Haunted World of Edward D. Wood Jr., The	114
115_Cold Comfort Farm	115
